SampleID	CFL_ID	Site	Sample_type	Soil-tree_type	Treatment	Conservation_time_week	Repetition	Depth	Extraction_date					
GRDI-ECO_PS-CM-202108-RAM1-1_ITS	RAM1-1	Valcartier	Soil	Agricultural mineral	RNAlater	1	1	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RAM1-2_ITS	RAM1-2	Valcartier	Soil	Agricultural mineral	RNAlater	1	2	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RAM1-3_ITS	RAM1-3	Valcartier	Soil	Agricultural mineral	RNAlater	1	3	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RAM2-1_ITS	RAM2-1	Valcartier	Soil	Agricultural mineral	RNAlater	2	1	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RAM2-2_ITS	RAM2-2	Valcartier	Soil	Agricultural mineral	RNAlater	2	2	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RAM2-3_ITS	RAM2-3	Valcartier	Soil	Agricultural mineral	RNAlater	2	3	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RAM3-1_ITS	RAM3-1	Valcartier	Soil	Agricultural mineral	RNAlater	3	1	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RAM3-2_ITS	RAM3-2	Valcartier	Soil	Agricultural mineral	RNAlater	3	2	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-RAM3-3_ITS	RAM3-3	Valcartier	Soil	Agricultural mineral	RNAlater	3	3	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EAM1-1_ITS	EAM1-1	Valcartier	Soil	Agricultural mineral	Ethanol	1	1	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EAM1-2_ITS	EAM1-2	Valcartier	Soil	Agricultural mineral	Ethanol	1	2	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EAM1-3_ITS	EAM1-3	Valcartier	Soil	Agricultural mineral	Ethanol	1	3	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EAM2-1_ITS	EAM2-1	Valcartier	Soil	Agricultural mineral	Ethanol	2	1	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EAM2-2_ITS	EAM2-2	Valcartier	Soil	Agricultural mineral	Ethanol	2	2	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EAM2-3_ITS	EAM2-3	Valcartier	Soil	Agricultural mineral	Ethanol	2	3	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EAM3-1_ITS	EAM3-1	Valcartier	Soil	Agricultural mineral	Ethanol	3	1	30 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-EAM3-2_ITS	EAM3-2	Valcartier	Soil	Agricultural mineral	Ethanol	3	2	30 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-EAM3-3_ITS	EAM3-3	Valcartier	Soil	Agricultural mineral	Ethanol	3	3	30 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-LAM1-1_ITS	LAM1-1	Valcartier	Soil	Agricultural mineral	LifeGuard	1	1	30 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-LAM1-2_ITS	LAM1-2	Valcartier	Soil	Agricultural mineral	LifeGuard	1	2	30 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-LAM1-3_ITS	LAM1-3	Valcartier	Soil	Agricultural mineral	LifeGuard	1	3	30 cm	2021-08-18					
