Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
RFM1-1	Default	2022-04-19	09:45	30.79	0.616	0.295	2.08	1.42	50.00	230	0.434	0.049
RFM1-2	Default	2022-04-19	09:45	32.95	0.659	0.336	1.96	1.80	50.00	230	0.365	-0.001
RFM1-3	Default	2022-04-19	09:46	31.89	0.638	0.327	1.95	1.30	50.00	230	0.491	0.113
RFM2-1	Default	2022-04-19	09:47	27.28	0.546	0.284	1.92	1.31	50.00	230	0.416	0.058
RFM2-2	Default	2022-04-19	09:48	31.87	0.637	0.360	1.77	0.81	50.00	230	0.784	0.768
RFM2-3	Default	2022-04-19	09:48	22.81	0.456	0.248	1.84	1.67	50.00	230	0.274	0.034
RFM3-1	Default	2022-04-19	09:49	20.28	0.406	0.226	1.79	1.48	50.00	230	0.273	-0.013
RFM3-2	Default	2022-04-19	09:50	24.95	0.499	0.242	2.06	1.51	50.00	230	0.329	-0.097
RFM3-3	Default	2022-04-19	09:51	23.61	0.472	0.250	1.89	1.17	50.00	230	0.404	0.016
EFM1-1	Default	2022-04-19	09:52	3.97	0.079	0.022	3.57	0.28	50.00	230	0.279	0.163
EFM1-2	Default	2022-04-19	09:53	4.21	0.084	0.070	1.21	0.87	50.00	230	0.097	0.101
EFM1-3	Default	2022-04-19	09:53	13.04	0.261	0.167	1.56	0.74	50.00	230	0.353	0.512
EFM2-1	Default	2022-04-19	09:54	7.98	0.160	0.099	1.62	0.42	50.00	230	0.384	0.262
EFM2-2	Default	2022-04-19	09:55	4.02	0.080	0.048	1.67	0.51	50.00	230	0.159	0.081
EFM2-3	Default	2022-04-19	09:55	3.28	0.066	0.024	2.68	0.70	50.00	230	0.094	0.109
EFM3-1	Default	2022-04-19	09:56	5.22	0.104	0.044	2.37	0.02	50.00	230	6.525	0.150
EFM3-2	Default	2022-04-19	09:57	2.82	0.056	0.009	6.59	0.55	50.00	230	0.103	0.145
EFM3-3	Default	2022-04-19	09:58	3.86	0.077	0.032	2.41	0.37	50.00	230	0.211	0.163
LFM1-1	Default	2022-04-19	10:00	18.15	0.363	0.196	1.85	0.60	50.00	230	0.606	0.035
LFM1-2	Default	2022-04-19	10:00	19.57	0.391	0.210	1.86	0.86	50.00	230	0.454	0.057
LFM1-3	Default	2022-04-19	10:01	26.75	0.535	0.283	1.89	1.41	50.00	230	0.379	0.131
LFM2-1	Default	2022-04-19	10:02	16.35	0.327	0.164	1.99	0.87	50.00	230	0.376	0.107
LFM2-2	Default	2022-04-19	10:03	27.09	0.542	0.314	1.72	1.20	50.00	230	0.451	0.432
LFM2-3	Default	2022-04-19	10:03	16.43	0.329	0.151	2.17	1.54	50.00	230	0.213	0.113
LFM3-1	Default	2022-04-19	10:04	22.35	0.447	0.232	1.93	1.38	50.00	230	0.323	0.079
LFM3-2	Default	2022-04-19	10:04	15.22	0.304	0.153	2.00	1.29	50.00	230	0.236	0.123
LFM3-3	Default	2022-04-19	10:05	17.34	0.347	0.182	1.90	1.33	50.00	230	0.261	0.232
CFM1-1	Default	2022-04-19	10:06	27.88	0.558	0.286	1.95	0.77	50.00	230	0.725	0.252
CFM1-2	Default	2022-04-19	10:07	29.56	0.591	0.353	1.67	0.99	50.00	230	0.599	0.155
CFM1-3	Default	2022-04-19	10:08	29.36	0.587	0.325	1.81	1.54	50.00	230	0.381	0.178
CFM2-1	Default	2022-04-19	10:09	27.60	0.552	0.273	2.02	1.48	50.00	230	0.374	0.158
CFM2-2	Default	2022-04-19	10:09	29.51	0.590	0.300	1.97	1.51	50.00	230	0.390	0.183
CFM2-3	Default	2022-04-19	10:10	26.86	0.537	0.290	1.85	0.87	50.00	230	0.615	0.144
CFM3-1	Default	2022-04-19	10:11	30.57	0.611	0.316	1.93	0.92	50.00	230	0.668	0.141
CFM3-2	Default	2022-04-19	10:11	29.61	0.592	0.314	1.89	1.09	50.00	230	0.545	0.181
CFM3-3	Default	2022-04-19	10:12	29.98	0.600	0.319	1.88	0.83	50.00	230	0.721	0.190
DFM1-1	Default	2022-04-19	10:13	31.05	0.621	0.327	1.90	1.28	50.00	230	0.484	0.196
DFM1-2	Default	2022-04-19	10:14	31.78	0.636	0.336	1.89	1.52	50.00	230	0.417	0.172
DFM1-3	Default	2022-04-19	10:14	30.89	0.618	0.323	1.92	1.73	50.00	230	0.357	0.162
DFM2-1	Default	2022-04-19	10:15	29.39	0.588	0.308	1.91	1.52	50.00	230	0.387	0.340
DFM2-2	Default	2022-04-19	10:15	33.43	0.669	0.340	1.97	1.58	50.00	230	0.422	0.170
DFM2-3	Default	2022-04-19	10:16	32.37	0.647	0.342	1.89	1.38	50.00	230	0.470	0.143
DFM3-1	Default	2022-04-19	10:16	32.53	0.651	0.331	1.96	1.58	50.00	230	0.411	0.146
DFM3-2	Default	2022-04-19	10:17	34.33	0.687	0.374	1.84	1.45	50.00	230	0.473	0.088
DFM3-3	Default	2022-04-19	10:17	31.42	0.628	0.354	1.77	1.35	50.00	230	0.465	0.211
FFM1	Default	2022-04-19	10:34	23.07	0.461	0.240	1.93	0.90	50.00	230	0.513	0.080
FFM2	Default	2022-04-19	10:35	19.53	0.391	0.215	1.82	1.09	50.00	230	0.358	0.337
FFM3	Default	2022-04-19	10:35	21.09	0.422	0.215	1.97	0.71	50.00	230	0.593	0.153
FM1	Default	2022-04-19	10:36	29.69	0.594	0.310	1.92	1.53	50.00	230	0.387	0.093
FM2	Default	2022-04-19	10:36	27.38	0.548	0.287	1.91	1.78	50.00	230	0.308	0.123
FM3	Default	2022-04-19	10:37	37.94	0.759	0.439	1.73	1.36	50.00	230	0.556	0.573
