Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
RFO1-1	Default	2022-04-19	12:26	116.99	2.340	1.268	1.85	1.80	50.00	230	1.301	0.142
RFO1-2	Default	2022-04-19	12:27	49.01	0.980	0.526	1.86	1.29	50.00	230	0.761	0.090
RFO1-3	Default	2022-04-19	12:27	66.52	1.330	0.716	1.86	1.77	50.00	230	0.752	0.013
RFO2-1	Default	2022-04-19	12:28	40.02	0.800	0.428	1.87	1.85	50.00	230	0.432	0.012
RFO2-2	Default	2022-04-19	12:28	46.42	0.928	0.514	1.81	0.20	50.00	230	4.731	0.003
RFO2-3	Default	2022-04-19	12:29	44.15	0.883	0.457	1.93	1.63	50.00	230	0.540	0.205
RFO3-1	Default	2022-04-19	12:30	34.90	0.698	0.387	1.80	1.56	50.00	230	0.447	0.002
RFO3-2	Default	2022-04-19	12:30	33.56	0.671	0.346	1.94	1.26	50.00	230	0.534	0.059
RFO3-3	Default	2022-04-19	12:30	37.34	0.747	0.416	1.79	1.58	50.00	230	0.474	0.001
EFO1-1	Default	2022-04-19	12:31	12.78	0.256	0.152	1.68	0.36	50.00	230	0.704	0.020
EFO1-2	Default	2022-04-19	12:32	12.39	0.248	0.123	2.01	0.53	50.00	230	0.467	0.050
EFO1-3	Default	2022-04-19	12:32	10.16	0.203	0.128	1.59	0.23	50.00	230	0.889	-0.002
EFO2-1	Default	2022-04-19	12:33	8.61	0.172	0.118	1.47	1.10	50.00	230	0.156	0.017
EFO2-2	Default	2022-04-19	12:33	9.49	0.190	0.129	1.47	0.53	50.00	230	0.360	0.005
EFO2-3	Default	2022-04-19	12:34	9.94	0.199	0.117	1.70	1.10	50.00	230	0.181	0.008
EFO3-1	Default	2022-04-19	12:34	7.58	0.152	0.103	1.47	0.25	50.00	230	0.615	-0.020
EFO3-2	Default	2022-04-19	12:35	7.19	0.144	0.083	1.74	0.16	50.00	230	0.908	0.048
EFO3-3	Default	2022-04-19	12:35	4.88	0.098	0.087	1.12	0.25	50.00	230	0.383	0.026
LFO1-1	Default	2022-04-19	12:36	34.55	0.691	0.384	1.80	1.69	50.00	230	0.408	0.033
LFO1-2	Default	2022-04-19	12:37	41.78	0.836	0.447	1.87	1.89	50.00	230	0.442	0.026
LFO1-3	Default	2022-04-19	12:37	30.91	0.618	0.342	1.81	1.52	50.00	230	0.407	0.122
LFO2-1	Default	2022-04-19	12:38	29.85	0.597	0.317	1.88	1.77	50.00	230	0.337	0.041
LFO2-2	Default	2022-04-19	12:38	54.00	1.080	0.592	1.83	1.99	50.00	230	0.542	0.061
LFO2-3	Default	2022-04-19	12:39	37.61	0.752	0.396	1.90	1.80	50.00	230	0.418	0.064
