Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
RPE1-2	Default	2022-04-19	13:26	10.95	0.219	0.150	1.46	0.14	50.00	230	1.520	0.106
RPE2-3	Default	2022-04-19	13:29	11.23	0.225	0.134	1.67	0.50	50.00	230	0.445	0.254
EPE2-1	Default	2022-04-19	13:31	16.85	0.337	0.232	1.45	0.50	50.00	230	0.681	0.626
EPE3-2	Default	2022-04-19	13:33	8.16	0.163	0.070	2.33	0.17	50.00	230	0.959	0.048
LPE1-3	Default	2022-04-19	13:34	7.29	0.146	0.086	1.70	0.77	50.00	230	0.189	0.004
LPE2-1	Default	2022-04-19	13:35	13.02	0.260	0.180	1.45	0.58	50.00	230	0.451	0.460
LPE2-2	Default	2022-04-19	13:36	6.99	0.140	0.103	1.35	0.56	50.00	230	0.251	-0.014
LPE2-3	Default	2022-04-19	13:37	3.09	0.062	0.042	1.49	0.08	50.00	230	0.780	0.061
LPE3-3	Default	2022-04-19	13:38	2.40	0.048	0.025	1.89	0.13	50.00	230	0.365	0.052
DPE1-1	Default	2022-04-19	13:39	14.07	0.281	0.173	1.62	0.34	50.00	230	0.820	0.372
DPE1-2	Default	2022-04-19	13:40	45.31	0.906	0.604	1.50	0.46	50.00	230	1.976	1.132
DPE1-3	Default	2022-04-19	13:41	18.49	0.370	0.256	1.44	0.25	50.00	230	1.487	0.298
DPE2-3	Default	2022-04-19	13:43	3.41	0.068	0.042	1.62	0.19	50.00	230	0.364	0.061
DPE3-2	Default	2022-04-19	13:44	9.40	0.188	0.123	1.53	0.21	50.00	230	0.883	0.209
FPE1	Default	2022-04-19	13:45	34.15	0.683	0.429	1.59	0.69	50.00	230	0.983	1.514
FPE2	Default	2022-04-19	13:46	14.64	0.293	0.211	1.39	0.63	50.00	230	0.467	0.669
PE1	Default	2022-04-19	13:46	3.50	0.070	0.051	1.38	0.27	50.00	230	0.256	0.030
PE2	Default	2022-04-19	13:47	3.05	0.061	0.027	2.25	0.42	50.00	230	0.147	0.028
PE3	Default	2022-04-19	13:47	3.61	0.072	0.059	1.23	0.74	50.00	230	0.097	0.116
