Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
RPP1-1	Default	2022-04-20	10:12	6.65	0.133	0.059	2.24	0.36	50.00	230	0.368	0.285
RPP2-1	Default	2022-04-20	10:13	4.25	0.085	0.053	1.60	0.38	50.00	230	0.222	0.220
RPP2-2	Default	2022-04-20	10:14	3.07	0.061	0.027	2.30	0.19	50.00	230	0.318	0.089
RPP2-3	Default	2022-04-20	10:15	2.91	0.058	0.007	8.29	0.23	50.00	230	0.253	0.085
RPP3-1	Default	2022-04-20	10:16	1.89	0.038	-0.025	-1.54	0.00	50.00	230	7.851	0.071
RPP3-2	Default	2022-04-20	10:17	0.36	0.007	-0.017	-0.43	0.02	50.00	230	0.328	0.020
RPP3-3	Default	2022-04-20	10:18	1.85	0.037	-0.012	-3.12	0.14	50.00	230	0.261	0.157
LPP1-1	Default	2022-04-20	10:20	11.14	0.223	0.116	1.92	0.19	50.00	230	1.183	0.381
LPP3-3	Default	2022-04-20	10:22	0.23	0.005	-0.018	-0.25	0.01	50.00	230	0.336	0.043
DPP1-2	Default	2022-04-20	10:23	10.41	0.208	0.129	1.61	0.33	50.00	230	0.624	0.217
FPP3	Default	2022-04-20	10:24	1.21	0.024	0.004	6.78	0.05	50.00	230	0.508	0.066
PP1	Default	2022-04-20	10:25	4.05	0.081	0.020	4.04	0.15	50.00	230	0.532	0.224
