Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
RRA1-1	Default	2022-04-20	10:28	8.51	0.170	0.118	1.45	0.07	50.00	230	2.327	0.172
RRA1-2	Default	2022-04-20	10:28	6.39	0.128	0.093	1.38	0.06	50.00	230	2.290	0.134
RRA1-3	Default	2022-04-20	10:29	9.23	0.185	0.104	1.78	1.49	50.00	230	0.124	-0.101
RRA2-1	Default	2022-04-20	10:29	15.06	0.301	0.162	1.86	0.44	50.00	230	0.685	0.146
RRA2-2	Default	2022-04-20	10:30	31.56	0.631	0.344	1.83	1.12	50.00	230	0.564	-0.069
RRA2-3	Default	2022-04-20	10:30	40.60	0.812	0.077	10.59	1.50	50.00	230	0.543	-0.032
RRA3-1	Default	2022-04-20	10:31	77.77	1.555	0.826	1.88	0.75	50.00	230	2.070	-0.057
RRA3-2	Default	2022-04-20	10:31	24.61	0.492	0.250	1.97	1.25	50.00	230	0.393	-0.065
RRA3-3	Default	2022-04-20	10:32	25.92	0.518	0.281	1.84	0.78	50.00	230	0.668	-0.049
ERA1-1	Default	2022-04-20	10:32	7.23	0.145	0.079	1.83	0.74	50.00	230	0.195	-0.079
ERA1-2	Default	2022-04-20	10:33	14.35	0.287	0.148	1.94	0.55	50.00	230	0.521	-0.008
ERA1-3	Default	2022-04-20	10:33	19.56	0.391	0.244	1.61	0.52	50.00	230	0.758	0.536
ERA2-1	Default	2022-04-20	10:34	15.20	0.304	0.157	1.93	0.76	50.00	230	0.400	-0.086
ERA2-2	Default	2022-04-20	10:34	5.98	0.120	0.082	1.45	0.75	50.00	230	0.160	-0.098
ERA2-3	Default	2022-04-20	10:36	5.47	0.109	0.093	1.17	0.13	50.00	230	0.822	-0.059
ERA3-1	Default	2022-04-20	10:36	4.23	0.085	0.048	1.77	0.52	50.00	230	0.162	-0.059
ERA3-2	Default	2022-04-20	10:36	5.08	0.102	0.051	1.98	0.72	50.00	230	0.142	0.006
ERA3-3	Default	2022-04-20	10:37	4.97	0.099	0.069	1.43	0.78	50.00	230	0.127	-0.077
LRA1-1	Default	2022-04-20	10:37	11.80	0.236	0.142	1.67	0.06	50.00	230	4.160	-0.094
LRA1-2	Default	2022-04-20	10:38	33.44	0.669	0.368	1.82	1.30	50.00	230	0.515	-0.006
LRA1-3	Default	2022-04-20	10:38	3.61	0.072	0.039	1.85	0.23	50.00	230	0.318	-0.047
LRA2-1	Default	2022-04-20	10:39	2.47	0.049	0.027	1.80	0.23	50.00	230	0.218	-0.077
LRA2-2	Default	2022-04-20	10:39	-0.22	-0.004	-0.001	6.12	-0.14	50.00	230	0.031	-0.101
LRA2-3	Default	2022-04-20	10:40	6.73	0.135	0.093	1.46	0.14	50.00	230	0.987	-0.049
LRA3-1	Default	2022-04-20	10:40	5.35	0.107	0.043	2.47	0.29	50.00	230	0.371	-0.081
LRA3-2	Default	2022-04-20	10:41	7.77	0.155	0.103	1.50	0.26	50.00	230	0.606	-0.101
LRA3-3	Default	2022-04-20	10:41	6.27	0.125	0.058	2.17	0.07	50.00	230	1.834	-0.110
DRA1-1	Default	2022-04-20	10:41	19.71	0.394	0.210	1.88	0.04	50.00	230	10.040	-0.117
DRA1-2	Default	2022-04-20	10:42	32.10	0.642	0.370	1.74	1.45	50.00	230	0.444	-0.040
DRA1-3	Default	2022-04-20	10:42	41.06	0.821	0.486	1.69	1.17	50.00	230	0.699	0.891
DRA2-1	Default	2022-04-20	10:43	30.40	0.608	0.320	1.90	1.54	50.00	230	0.395	-0.076
DRA2-2	Default	2022-04-20	10:43	15.87	0.317	0.174	1.83	1.33	50.00	230	0.238	-0.021
DRA2-3	Default	2022-04-20	10:43	14.59	0.292	0.160	1.82	0.02	50.00	230	12.703	-0.116
DRA3-1	Default	2022-04-20	10:44	15.04	0.301	0.140	2.15	0.91	50.00	230	0.331	-0.094
DRA3-2	Default	2022-04-20	10:44	11.23	0.225	0.113	1.99	1.07	50.00	230	0.210	-0.146
DRA3-3	Default	2022-04-20	10:45	14.58	0.292	0.161	1.81	1.32	50.00	230	0.222	-0.112
FRA1	Default	2022-04-20	10:45	65.47	1.309	0.698	1.88	0.40	50.00	230	3.286	-0.077
FRA2	Default	2022-04-20	10:45	69.19	1.384	0.749	1.85	0.41	50.00	230	3.415	-0.051
FRA3	Default	2022-04-20	10:46	96.22	1.924	1.031	1.87	1.99	50.00	230	0.969	-0.122
RA1	Default	2022-04-20	10:46	39.08	0.782	0.431	1.81	1.30	50.00	230	0.599	-0.110
RA2	Default	2022-04-20	10:46	36.63	0.733	0.399	1.84	1.58	50.00	230	0.462	-0.110
RA3	Default	2022-04-20	10:47	26.90	0.538	0.269	2.00	1.91	50.00	230	0.282	-0.104
