Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
RRH1-1	Default	2022-04-20	09:23	142.54	2.851	1.592	1.79	1.83	50.00	230	1.555	0.044
RRH1-2	Default	2022-04-20	09:24	183.28	3.666	1.911	1.92	1.91	50.00	230	1.915	0.077
RRH1-3	Default	2022-04-20	09:26	151.80	3.036	1.592	1.91	1.80	50.00	230	1.686	0.246
RRH2-1	Default	2022-04-20	09:27	186.51	3.730	1.971	1.89	0.42	50.00	230	8.827	0.109
RRH2-2	Default	2022-04-20	09:28	116.99	2.340	1.224	1.91	1.78	50.00	230	1.315	0.064
RRH2-3	Default	2022-04-20	09:29	189.79	3.796	2.013	1.89	1.88	50.00	230	2.016	0.079
RRH3-1	Default	2022-04-20	09:30	116.64	2.333	1.239	1.88	0.91	50.00	230	2.569	-0.001
RRH3-2	Default	2022-04-20	09:32	60.42	1.208	0.663	1.82	1.48	50.00	230	0.817	0.082
RRH3-3	Default	2022-04-20	09:33	133.90	2.678	1.437	1.86	1.53	50.00	230	1.755	0.030
ERH1-1	Default	2022-04-20	09:34	58.64	1.173	0.638	1.84	1.38	50.00	230	0.850	0.020
ERH1-2	Default	2022-04-20	09:34	74.17	1.483	0.795	1.87	1.76	50.00	230	0.842	-0.012
ERH1-3	Default	2022-04-20	09:35	6.40	0.128	0.073	1.75	0.94	50.00	230	0.136	-0.003
ERH2-1	Default	2022-04-20	09:36	113.24	2.265	1.196	1.89	1.38	50.00	230	1.647	0.032
ERH2-2	Default	2022-04-20	09:37	14.39	0.288	0.168	1.71	0.41	50.00	230	0.702	0.000
ERH2-3	Default	2022-04-20	09:37	33.87	0.677	0.384	1.76	0.37	50.00	230	1.852	0.053
ERH3-1	Default	2022-04-20	09:38	15.11	0.302	0.190	1.59	0.98	50.00	230	0.307	0.030
ERH3-2	Default	2022-04-20	09:38	3.93	0.079	0.032	2.44	0.17	50.00	230	0.457	0.057
ERH3-3	Default	2022-04-20	09:39	4.64	0.093	0.064	1.46	0.72	50.00	230	0.129	0.025
LRH1-1	Default	2022-04-20	09:40	56.11	1.122	0.591	1.90	1.76	50.00	230	0.637	0.064
LRH1-2	Default	2022-04-20	09:40	104.58	2.092	1.130	1.85	1.82	50.00	230	1.147	0.023
LRH1-3	Default	2022-04-20	09:41	114.25	2.285	1.206	1.89	1.78	50.00	230	1.287	0.098
LRH2-1	Default	2022-04-20	09:42	63.99	1.280	0.684	1.87	1.37	50.00	230	0.933	0.109
LRH2-2	Default	2022-04-20	09:43	18.67	0.373	0.226	1.65	1.34	50.00	230	0.278	0.000
LRH2-3	Default	2022-04-20	09:44	17.63	0.353	0.204	1.73	1.03	50.00	230	0.341	0.037
LRH3-1	Default	2022-04-20	09:44	33.14	0.663	0.356	1.86	0.91	50.00	230	0.725	0.069
LRH3-2	Default	2022-04-20	09:45	87.49	1.750	0.929	1.88	1.98	50.00	230	0.885	0.049
LRH3-3	Default	2022-04-20	09:45	16.66	0.333	0.185	1.80	1.45	50.00	230	0.230	0.034
DRH1-1	Default	2022-04-20	09:46	2.97	0.059	0.047	1.27	0.44	50.00	230	0.136	0.034
DRH1-2	Default	2022-04-20	09:46	196.12	3.922	2.091	1.88	1.94	50.00	230	2.024	0.040
DRH2-1	Default	2022-04-20	09:47	17.40	0.348	0.217	1.60	1.40	50.00	230	0.248	0.047
DRH2-2	Default	2022-04-20	09:48	26.57	0.531	0.282	1.88	1.74	50.00	230	0.305	0.015
DRH2-3	Default	2022-04-20	09:48	32.84	0.657	0.366	1.79	0.20	50.00	230	3.283	0.140
DRH3-1	Default	2022-04-20	09:48	20.47	0.409	0.245	1.67	0.74	50.00	230	0.550	0.389
DRH3-2	Default	2022-04-20	09:49	16.63	0.333	0.194	1.72	1.06	50.00	230	0.312	0.043
DRH3-3	Default	2022-04-20	09:49	17.28	0.346	0.222	1.56	0.99	50.00	230	0.349	0.074
FRH1	Default	2022-04-20	09:50	25.88	0.518	0.288	1.80	1.63	50.00	230	0.317	0.023
FRH2	Default	2022-04-20	09:50	23.93	0.479	0.276	1.74	0.97	50.00	230	0.494	0.055
FRH3	Default	2022-04-20	09:51	19.53	0.391	0.206	1.89	0.74	50.00	230	0.524	0.048
RH1	Default	2022-04-20	09:51	69.50	1.390	0.748	1.86	2.02	50.00	230	0.688	0.039
RH2	Default	2022-04-20	09:51	64.57	1.291	0.703	1.84	1.32	50.00	230	0.981	0.027
RH3	Default	2022-04-20	09:52	107.17	2.143	1.136	1.89	1.87	50.00	230	1.143	0.033
DRH1-3	Default	2022-04-20	09:54	12.46	0.249	0.163	1.52	1.00	50.00	230	0.250	0.100
